Origin Airport,Destination Region Normalized,Year,Route,AIR_BERLIN_GROUP_Departures,LUFTHANSA_GROUP_Departures,LowCostCarrier_GROUP_Departures,NEW_ENTRANT_Departures,legacy_group_Departures,regional_and_others_Departures,AIR_BERLIN_GROUP_Market_Share,LUFTHANSA_GROUP_Market_Share,LowCostCarrier_GROUP_Market_Share,NEW_ENTRANT_Market_Share,legacy_group_Market_Share,regional_and_others_Market_Share
DUS,NORTH AFRICA,2015,DUS → NORTH AFRICA,170.0,49.0,151.0,0.0,0.0,0.0,0.4594594594594595,0.13243243243243244,0.4081081081081081,0.0,0.0,0.0
DUS,NORTH AFRICA,2016,DUS → NORTH AFRICA,52.0,0.0,100.0,0.0,0.0,0.0,0.34210526315789475,0.0,0.6578947368421053,0.0,0.0,0.0
DUS,NORTH AFRICA,2017,DUS → NORTH AFRICA,12.0,139.0,56.0,0.0,0.0,0.0,0.057971014492753624,0.6714975845410628,0.27053140096618356,0.0,0.0,0.0
DUS,NORTH AFRICA,2018,DUS → NORTH AFRICA,2.0,143.0,355.0,0.0,0.0,0.0,0.004,0.286,0.71,0.0,0.0,0.0
DUS,NORTH AFRICA,2019,DUS → NORTH AFRICA,13.0,245.0,468.0,0.0,0.0,0.0,0.01790633608815427,0.33746556473829203,0.6446280991735537,0.0,0.0,0.0
DUS,WESTERN EUROPE,2015,DUS → WESTERN EUROPE,14307.0,19678.0,4636.0,0.0,3879.0,5.0,0.3365956946241619,0.4629572991412775,0.10906952123279615,0.0,0.09125985178214328,0.00011763321962122103
DUS,WESTERN EUROPE,2016,DUS → WESTERN EUROPE,15828.0,20693.0,5077.0,4.0,4081.0,0.0,0.34647461856708184,0.45296937591664294,0.11113543331217302,8.755992382286628e-05,0.08933301228027932,0.0
DUS,WESTERN EUROPE,2017,DUS → WESTERN EUROPE,18064.0,18409.0,5170.0,0.0,4355.0,0.0,0.3927127266402887,0.40021305274142355,0.11239619113874516,0.0,0.09467802947954258,0.0
DUS,WESTERN EUROPE,2018,DUS → WESTERN EUROPE,8190.0,22590.0,8832.0,272.0,4165.0,0.0,0.1859293060001362,0.5128379758904856,0.2005039841994143,0.006174941542373266,0.09455379236759064,0.0
DUS,WESTERN EUROPE,2019,DUS → WESTERN EUROPE,8375.0,25286.0,7815.0,428.0,4298.0,205.0,0.18046846380933912,0.5448746956278148,0.1684013187665654,0.009222746568405629,0.0926153382032883,0.004417437024586808
FRA,EASTERN EUROPE,2015,FRA → EASTERN EUROPE,0.0,14997.0,1324.0,0.0,4979.0,0.0,0.0,0.7040845070422536,0.06215962441314554,0.0,0.23375586854460093,0.0
FRA,EASTERN EUROPE,2016,FRA → EASTERN EUROPE,0.0,14351.0,881.0,0.0,4898.0,0.0,0.0,0.712916045702931,0.043765524093392946,0.0,0.2433184302036761,0.0
FRA,EASTERN EUROPE,2017,FRA → EASTERN EUROPE,0.0,14582.0,1078.0,1.0,4680.0,0.0,0.0,0.7168772430067352,0.052996411189223734,4.916179145568064e-05,0.23007718401258542,0.0
FRA,EASTERN EUROPE,2018,FRA → EASTERN EUROPE,0.0,16409.0,1541.0,419.0,5024.0,0.0,0.0,0.7014491514555636,0.06587440687385115,0.01791134099944428,0.21476510067114093,0.0
FRA,EASTERN EUROPE,2019,FRA → EASTERN EUROPE,0.0,16533.0,1790.0,259.0,5072.0,0.0,0.0,0.6989515515346242,0.07567430455736873,0.010949522279529889,0.21442462162847722,0.0
FRA,GULF/MIDDLE EAST,2015,FRA → GULF/MIDDLE EAST,0.0,2513.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FRA,GULF/MIDDLE EAST,2016,FRA → GULF/MIDDLE EAST,0.0,2562.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FRA,GULF/MIDDLE EAST,2017,FRA → GULF/MIDDLE EAST,0.0,2550.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FRA,GULF/MIDDLE EAST,2018,FRA → GULF/MIDDLE EAST,0.0,2258.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FRA,GULF/MIDDLE EAST,2019,FRA → GULF/MIDDLE EAST,0.0,2325.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FRA,NORTH AFRICA,2015,FRA → NORTH AFRICA,0.0,1289.0,156.0,0.0,0.0,0.0,0.0,0.8920415224913495,0.10795847750865052,0.0,0.0,0.0
FRA,NORTH AFRICA,2016,FRA → NORTH AFRICA,0.0,1184.0,27.0,0.0,0.0,0.0,0.0,0.9777043765483072,0.022295623451692816,0.0,0.0,0.0
