Origin Airport,Destination Region Normalized,Year,Airline_Group,Departures,Total_Market_Departures,Market_Share,Market_Share_Squared,Route
FRA,EASTERN EUROPE,2016,legacy_group,4898.0,20130.0,0.2433184302036761,0.0592038584767812,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2017,AIR_BERLIN_GROUP,0.0,20341.0,0.0,0.0,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2017,LUFTHANSA_GROUP,14582.0,20341.0,0.7168772430067352,0.5139129815409377,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2017,LowCostCarrier_GROUP,1078.0,20341.0,0.052996411189223734,0.0028086195989372787,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2017,NEW_ENTRANT,1.0,20341.0,4.916179145568064e-05,2.416881739131834e-09,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2017,legacy_group,4680.0,20341.0,0.23007718401258542,0.052935510603161096,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2018,LUFTHANSA_GROUP,16409.0,23393.0,0.7014491514555636,0.49203091207773025,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2018,LowCostCarrier_GROUP,1541.0,23393.0,0.06587440687385115,0.004339437480981688,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2018,NEW_ENTRANT,419.0,23393.0,0.01791134099944428,0.0003208161363983736,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2018,legacy_group,5024.0,23393.0,0.21476510067114093,0.0461240484662853,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2018,regional_and_others,0.0,23393.0,0.0,0.0,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2019,LUFTHANSA_GROUP,16533.0,23654.0,0.6989515515346242,0.4885332713926584,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2019,LowCostCarrier_GROUP,1790.0,23654.0,0.07567430455736873,0.005726600370241398,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2019,NEW_ENTRANT,259.0,23654.0,0.010949522279529889,0.00011989203814992141,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2019,legacy_group,5072.0,23654.0,0.21442462162847722,0.045977918360515624,FRA → EASTERN EUROPE
FRA,EASTERN EUROPE,2019,regional_and_others,0.0,23654.0,0.0,0.0,FRA → EASTERN EUROPE
FRA,GULF/MIDDLE EAST,2015,LUFTHANSA_GROUP,2513.0,2513.0,1.0,1.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2015,legacy_group,0.0,2513.0,0.0,0.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2016,LUFTHANSA_GROUP,2562.0,2562.0,1.0,1.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2016,legacy_group,0.0,2562.0,0.0,0.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2017,AIR_BERLIN_GROUP,0.0,2550.0,0.0,0.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2017,LUFTHANSA_GROUP,2550.0,2550.0,1.0,1.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2017,LowCostCarrier_GROUP,0.0,2550.0,0.0,0.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2017,legacy_group,0.0,2550.0,0.0,0.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2018,AIR_BERLIN_GROUP,0.0,2258.0,0.0,0.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2018,LUFTHANSA_GROUP,2258.0,2258.0,1.0,1.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2018,legacy_group,0.0,2258.0,0.0,0.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2019,LUFTHANSA_GROUP,2325.0,2325.0,1.0,1.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2019,LowCostCarrier_GROUP,0.0,2325.0,0.0,0.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2019,legacy_group,0.0,2325.0,0.0,0.0,FRA → GULF/MIDDLE EAST
FRA,NORTH AFRICA,2015,AIR_BERLIN_GROUP,0.0,1445.0,0.0,0.0,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2015,LUFTHANSA_GROUP,1289.0,1445.0,0.8920415224913495,0.7957380778486848,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2015,LowCostCarrier_GROUP,156.0,1445.0,0.10795847750865052,0.011655032865985801,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2016,LUFTHANSA_GROUP,1184.0,1211.0,0.9777043765483072,0.9559058479217141,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2016,LowCostCarrier_GROUP,27.0,1211.0,0.022295623451692816,0.0004970948250996747,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2017,LUFTHANSA_GROUP,1550.0,1659.0,0.9342977697408077,0.8729123225426473,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2017,LowCostCarrier_GROUP,109.0,1659.0,0.06570223025919228,0.004316783061031922,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2018,LUFTHANSA_GROUP,1396.0,1698.0,0.8221436984687868,0.6759202609319354,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2018,LowCostCarrier_GROUP,302.0,1698.0,0.17785630153121318,0.031632863994361826,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2018,NEW_ENTRANT,0.0,1698.0,0.0,0.0,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2019,LUFTHANSA_GROUP,1443.0,2014.0,0.7164846077457795,0.5133501931366234,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2019,LowCostCarrier_GROUP,571.0,2014.0,0.28351539225422046,0.0803809776450645,FRA → NORTH AFRICA
FRA,WESTERN EUROPE,2015,AIR_BERLIN_GROUP,2043.0,81081.0,0.025197025197025196,0.0006348900787795227,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2015,LUFTHANSA_GROUP,66636.0,81081.0,0.8218448218448219,0.675428911193147,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2015,LowCostCarrier_GROUP,3085.0,81081.0,0.038048371381704714,0.0014476785648001264,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2015,NEW_ENTRANT,428.0,81081.0,0.005278671945338612,2.7864377506504924e-05,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2015,legacy_group,8889.0,81081.0,0.10963110963110963,0.012018980198948379,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2016,AIR_BERLIN_GROUP,1955.0,80263.0,0.02435742496542616,0.0005932841509463657,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2016,LUFTHANSA_GROUP,66587.0,80263.0,0.8296101566101441,0.6882530119507079,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2016,LowCostCarrier_GROUP,3351.0,80263.0,0.04175024606605784,0.001743083046576378,FRA → WESTERN EUROPE
