Origin Airport,Destination Region Normalized,Year,HHI,Route
FRA,GULF/MIDDLE EAST,2017,10000.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2018,10000.0,FRA → GULF/MIDDLE EAST
FRA,GULF/MIDDLE EAST,2019,10000.0,FRA → GULF/MIDDLE EAST
FRA,NORTH AFRICA,2015,8073.9311071467055,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2016,9564.029427468136,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2017,8772.29105603679,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2018,7075.531249262972,FRA → NORTH AFRICA
FRA,NORTH AFRICA,2019,5937.311707816879,FRA → NORTH AFRICA
FRA,WESTERN EUROPE,2015,6895.583244131814,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2016,6999.74434416888,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2017,6771.1674353455865,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2018,6329.1066112525705,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2019,6423.906444383173,FRA → WESTERN EUROPE
HAM,EASTERN EUROPE,2015,4253.864195140374,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2016,4296.40218662232,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2017,3939.6098818432774,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2018,4003.839125367212,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2019,4345.061690483746,HAM → EASTERN EUROPE
HAM,GULF/MIDDLE EAST,2015,10000.0,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2016,10000.0,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2017,8711.242603550296,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2018,6831.7174515235465,HAM → GULF/MIDDLE EAST
HAM,GULF/MIDDLE EAST,2019,10000.0,HAM → GULF/MIDDLE EAST
HAM,NORTH AFRICA,2015,9478.635204081631,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2016,10000.0,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2017,5555.555555555556,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2018,10000.0,HAM → NORTH AFRICA
HAM,NORTH AFRICA,2019,8518.160715962913,HAM → NORTH AFRICA
HAM,WESTERN EUROPE,2015,3575.0350520898232,HAM → WESTERN EUROPE
HAM,WESTERN EUROPE,2016,3739.1977878131765,HAM → WESTERN EUROPE
HAM,WESTERN EUROPE,2017,3008.6167322608094,HAM → WESTERN EUROPE
HAM,WESTERN EUROPE,2018,4336.544560134775,HAM → WESTERN EUROPE
HAM,WESTERN EUROPE,2019,4459.6056260694795,HAM → WESTERN EUROPE
MUC,EASTERN EUROPE,2015,5599.8889269375395,MUC → EASTERN EUROPE
MUC,EASTERN EUROPE,2016,5340.303645645606,MUC → EASTERN EUROPE
MUC,EASTERN EUROPE,2017,5733.977934459464,MUC → EASTERN EUROPE
MUC,EASTERN EUROPE,2018,5312.337974158609,MUC → EASTERN EUROPE
MUC,EASTERN EUROPE,2019,4935.142748002239,MUC → EASTERN EUROPE
MUC,GULF/MIDDLE EAST,2015,6427.539062499999,MUC → GULF/MIDDLE EAST
